Date,1A,1B,1C,1D,2A,2B,2C,2D,3A,3B,3C,3D,4A,4B,4C,4D
7/3/13,0,0,0,0,0,0,0,0,0,22,4,4,25,0,0,0
7/4/13,0,0,0,0,0,0,0,0,182,8,94,12,40,0,0,1
7/5/13,0,0,0,0,0,0,0,0,21,0,11,10,6,0,0,5
7/6/13,38,19,5,8,4,0,1,3,25,12,24,14,29,0,24,40
7/7/13,12,12,6,10,10,0,0,6,24,19,30,28,35,14,20,46
7/8/13,5,23,0,20,7,1,1,13,8,28,31,24,35,30,48,27
7/9/13,15,16,9,31,28,4,4,11,6,4,11,3,23,30,31,24
7/10/13,12,20,25,51,37,13,15,32,5,2,4,1,3,34,40,9
7/11/13,3,8,12,2,23,8,8,22,20,2,8,1,12,23,19,20
7/12/13,2,13,15,3,12,37,26,37,1,0,7,0,8,5,7,8
7/13/13,3,10,50,24,15,38,31,24,0,1,2,0,0,0,0,2
7/14/13,0,4,27,11,13,16,16,19,0,0,3,0,0,0,0,1
7/15/13,1,3,17,13,7,11,21,12,0,0,1,0,0,0,0,1
7/16/13,0,2,0,5,2,36,15,7,0,0,1,0,0,3,0,0
7/17/13,0,0,1,2,3,17,3,3,0,0,0,0,3,1,0,4
7/18/13,0,0,0,0,0,6,4,5,0,0,0,0,4,0,0,3
7/19/13,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,1
7/20/13,0,0,0,0,0,5,1,1,0,0,0,0,1,0,0,3
7/21/13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
7/22/13,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
7/23/13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
